,Techniques,Rule
3606,T1564,Resources/sigma-master/rules/windows/sysmon/sysmon_config_modification_status.yml
3607,credenTial_access,Resources/sigma-master/rules/windows/sysmon/sysmon_accessing_winapi_in_powershell_credentials_dumping.yml
3608,T1003.001,Resources/sigma-master/rules/windows/sysmon/sysmon_accessing_winapi_in_powershell_credentials_dumping.yml
3609,laTeral_movemenT,Resources/sigma-master/rules/windows/sysmon/sysmon_dcom_iertutil_dll_hijack.yml
3610,T1021.002,Resources/sigma-master/rules/windows/sysmon/sysmon_dcom_iertutil_dll_hijack.yml
3611,T1021.003,Resources/sigma-master/rules/windows/sysmon/sysmon_dcom_iertutil_dll_hijack.yml
3612,defense_evasion,Resources/sigma-master/rules/windows/sysmon/sysmon_config_modification_error.yml
3613,T1564,Resources/sigma-master/rules/windows/sysmon/sysmon_config_modification_error.yml
3614,resource_developmenT,Resources/sigma-master/rules/windows/builtin/win_av_relevant_match.yml
3615,T1588,Resources/sigma-master/rules/windows/builtin/win_av_relevant_match.yml
3616,persisTence,Resources/sigma-master/rules/windows/builtin/win_set_oabvirtualdirectory_externalurl.yml
3617,T1505.003,Resources/sigma-master/rules/windows/builtin/win_set_oabvirtualdirectory_externalurl.yml
3618,T1107,Resources/sigma-master/rules/windows/builtin/win_event_log_cleared.yml
3619,T1070.001,Resources/sigma-master/rules/windows/builtin/win_event_log_cleared.yml
3620,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_stdin_services.yml
3621,T1027,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_stdin_services.yml
3622,execuTion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_stdin_services.yml
3623,T1059.001,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_stdin_services.yml
3624,discovery,Resources/sigma-master/rules/windows/builtin/win_susp_net_recon_activity.yml
3625,T1087,Resources/sigma-master/rules/windows/builtin/win_susp_net_recon_activity.yml
3626,T1087.002,Resources/sigma-master/rules/windows/builtin/win_susp_net_recon_activity.yml
3627,T1069,Resources/sigma-master/rules/windows/builtin/win_susp_net_recon_activity.yml
3628,T1069.002,Resources/sigma-master/rules/windows/builtin/win_susp_net_recon_activity.yml
3629,s0039,Resources/sigma-master/rules/windows/builtin/win_susp_net_recon_activity.yml
3630,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_not_allowed_rdp_access.yml
3631,T1076,Resources/sigma-master/rules/windows/builtin/win_not_allowed_rdp_access.yml
3632,T1021.001,Resources/sigma-master/rules/windows/builtin/win_not_allowed_rdp_access.yml
3633,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_system_susp_eventlog_cleared.yml
3634,T1070,Resources/sigma-master/rules/windows/builtin/win_system_susp_eventlog_cleared.yml
3635,T1070.001,Resources/sigma-master/rules/windows/builtin/win_system_susp_eventlog_cleared.yml
3636,car.2016-04-002,Resources/sigma-master/rules/windows/builtin/win_system_susp_eventlog_cleared.yml
3637,credenTial_access,Resources/sigma-master/rules/windows/builtin/win_susp_rc4_kerberos.yml
3638,T1208,Resources/sigma-master/rules/windows/builtin/win_susp_rc4_kerberos.yml
3639,T1558.003,Resources/sigma-master/rules/windows/builtin/win_susp_rc4_kerberos.yml
3640,credenTial_access,Resources/sigma-master/rules/windows/builtin/win_susp_sam_dump.yml
3641,T1003,Resources/sigma-master/rules/windows/builtin/win_susp_sam_dump.yml
3642,T1003.002,Resources/sigma-master/rules/windows/builtin/win_susp_sam_dump.yml
3643,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_compress_services_security.yml
3644,T1027,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_compress_services_security.yml
3645,execuTion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_compress_services_security.yml
3646,T1059.001,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_compress_services_security.yml
3647,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_susp_time_modification.yml
3648,T1099,Resources/sigma-master/rules/windows/builtin/win_susp_time_modification.yml
3649,T1070.006,Resources/sigma-master/rules/windows/builtin/win_susp_time_modification.yml
3650,T1091,Resources/sigma-master/rules/windows/builtin/win_external_device.yml
3651,T1200,Resources/sigma-master/rules/windows/builtin/win_external_device.yml
3652,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_external_device.yml
3653,iniTial_access,Resources/sigma-master/rules/windows/builtin/win_external_device.yml
3654,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_rundll_services_security.yml
3655,T1027,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_rundll_services_security.yml
3656,execuTion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_rundll_services_security.yml
3657,T1059.001,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_rundll_services_security.yml
3658,persisTence,Resources/sigma-master/rules/windows/builtin/win_gpo_scheduledtasks.yml
3659,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_gpo_scheduledtasks.yml
3660,T1053,Resources/sigma-master/rules/windows/builtin/win_gpo_scheduledtasks.yml
3661,T1053.005,Resources/sigma-master/rules/windows/builtin/win_gpo_scheduledtasks.yml
3662,execuTion,Resources/sigma-master/rules/windows/builtin/win_susp_proceshacker.yml
3663,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_susp_proceshacker.yml
3664,T1543.003,Resources/sigma-master/rules/windows/builtin/win_susp_proceshacker.yml
3665,T1569.002,Resources/sigma-master/rules/windows/builtin/win_susp_proceshacker.yml
3666,credenTial_access,Resources/sigma-master/rules/windows/builtin/win_mal_creddumper.yml
3667,execuTion,Resources/sigma-master/rules/windows/builtin/win_mal_creddumper.yml
3668,T1003,Resources/sigma-master/rules/windows/builtin/win_mal_creddumper.yml
3669,T1003.001,Resources/sigma-master/rules/windows/builtin/win_mal_creddumper.yml
3670,T1003.002,Resources/sigma-master/rules/windows/builtin/win_mal_creddumper.yml
3671,T1003.004,Resources/sigma-master/rules/windows/builtin/win_mal_creddumper.yml
3672,T1003.005,Resources/sigma-master/rules/windows/builtin/win_mal_creddumper.yml
3673,T1003.006,Resources/sigma-master/rules/windows/builtin/win_mal_creddumper.yml
3674,T1035,Resources/sigma-master/rules/windows/builtin/win_mal_creddumper.yml
3675,T1569.002,Resources/sigma-master/rules/windows/builtin/win_mal_creddumper.yml
3676,s0005,Resources/sigma-master/rules/windows/builtin/win_mal_creddumper.yml
3677,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_security_meterpreter_or_cobaltstrike_getsystem_service_install.yml
3678,T1134,Resources/sigma-master/rules/windows/builtin/win_security_meterpreter_or_cobaltstrike_getsystem_service_install.yml
3679,T1134.001,Resources/sigma-master/rules/windows/builtin/win_security_meterpreter_or_cobaltstrike_getsystem_service_install.yml
3680,T1134.002,Resources/sigma-master/rules/windows/builtin/win_security_meterpreter_or_cobaltstrike_getsystem_service_install.yml
3681,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_scrcons_remote_wmi_scripteventconsumer.yml
3682,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_scrcons_remote_wmi_scripteventconsumer.yml
3683,persisTence,Resources/sigma-master/rules/windows/builtin/win_scrcons_remote_wmi_scripteventconsumer.yml
3684,T1546.003,Resources/sigma-master/rules/windows/builtin/win_scrcons_remote_wmi_scripteventconsumer.yml
3685,T1110.003,Resources/sigma-master/rules/windows/builtin/win_susp_failed_remote_logons_single_source.yml
3686,iniTial_access,Resources/sigma-master/rules/windows/builtin/win_susp_failed_remote_logons_single_source.yml
3687,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_susp_failed_remote_logons_single_source.yml
3688,discovery,Resources/sigma-master/rules/windows/builtin/win_scm_database_handle_failure.yml
3689,persisTence,Resources/sigma-master/rules/windows/builtin/win_apt_carbonpaper_turla.yml
3690,g0010,Resources/sigma-master/rules/windows/builtin/win_apt_carbonpaper_turla.yml
3691,T1050,Resources/sigma-master/rules/windows/builtin/win_apt_carbonpaper_turla.yml
3692,T1543.003,Resources/sigma-master/rules/windows/builtin/win_apt_carbonpaper_turla.yml
3693,exfilTraTion,Resources/sigma-master/rules/windows/builtin/win_security_tap_driver_installation.yml
3694,T1048,Resources/sigma-master/rules/windows/builtin/win_security_tap_driver_installation.yml
3695,discovery,Resources/sigma-master/rules/windows/builtin/win_syskey_registry_access.yml
3696,T1012,Resources/sigma-master/rules/windows/builtin/win_syskey_registry_access.yml
3697,execuTion,Resources/sigma-master/rules/windows/builtin/win_remote_powershell_session.yml
3698,T1086,Resources/sigma-master/rules/windows/builtin/win_remote_powershell_session.yml
3699,T1059.001,Resources/sigma-master/rules/windows/builtin/win_remote_powershell_session.yml
3700,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_var_services.yml
3701,T1027,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_var_services.yml
3702,execuTion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_var_services.yml
3703,T1059.001,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_var_services.yml
3704,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_new_or_renamed_user_account_with_dollar_sign.yml
3705,T1036,Resources/sigma-master/rules/windows/builtin/win_new_or_renamed_user_account_with_dollar_sign.yml
3706,persisTence,Resources/sigma-master/rules/windows/builtin/win_susp_failed_logon_reasons.yml
3707,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_susp_failed_logon_reasons.yml
3708,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_susp_failed_logon_reasons.yml
3709,iniTial_access,Resources/sigma-master/rules/windows/builtin/win_susp_failed_logon_reasons.yml
3710,T1078,Resources/sigma-master/rules/windows/builtin/win_susp_failed_logon_reasons.yml
3711,persisTence,Resources/sigma-master/rules/windows/builtin/win_hybridconnectionmgr_svc_running.yml
3712,credenTial_access,Resources/sigma-master/rules/windows/builtin/win_dcsync.yml
3713,s0002,Resources/sigma-master/rules/windows/builtin/win_dcsync.yml
3714,T1003,Resources/sigma-master/rules/windows/builtin/win_dcsync.yml
3715,T1003.006,Resources/sigma-master/rules/windows/builtin/win_dcsync.yml
3716,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_rdp_localhost_login.yml
3717,T1076,Resources/sigma-master/rules/windows/builtin/win_rdp_localhost_login.yml
3718,car.2013-07-002,Resources/sigma-master/rules/windows/builtin/win_rdp_localhost_login.yml
3719,T1021.001,Resources/sigma-master/rules/windows/builtin/win_rdp_localhost_login.yml
3720,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_var_services_security.yml
3721,T1027,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_var_services_security.yml
3722,execuTion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_var_services_security.yml
3723,T1059.001,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_var_services_security.yml
3724,execuTion,Resources/sigma-master/rules/windows/builtin/win_scheduled_task_deletion.yml
3725,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_scheduled_task_deletion.yml
3726,T1053,Resources/sigma-master/rules/windows/builtin/win_scheduled_task_deletion.yml
3727,car.2013-08-001,Resources/sigma-master/rules/windows/builtin/win_scheduled_task_deletion.yml
3728,T1053.005,Resources/sigma-master/rules/windows/builtin/win_scheduled_task_deletion.yml
3729,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_svcctl_remote_service.yml
3730,persisTence,Resources/sigma-master/rules/windows/builtin/win_svcctl_remote_service.yml
3731,T1077,Resources/sigma-master/rules/windows/builtin/win_svcctl_remote_service.yml
3732,T1021.002,Resources/sigma-master/rules/windows/builtin/win_svcctl_remote_service.yml
3733,credenTial_access,Resources/sigma-master/rules/windows/builtin/win_vssaudit_secevent_source_registration.yml
3734,T1003.002,Resources/sigma-master/rules/windows/builtin/win_vssaudit_secevent_source_registration.yml
3735,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_clip_services.yml
3736,T1027,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_clip_services.yml
3737,execuTion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_clip_services.yml
3738,T1059.001,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_clip_services.yml
3739,execuTion,Resources/sigma-master/rules/windows/builtin/win_wmiprvse_wbemcomn_dll_hijack.yml
3740,T1047,Resources/sigma-master/rules/windows/builtin/win_wmiprvse_wbemcomn_dll_hijack.yml
3741,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_wmiprvse_wbemcomn_dll_hijack.yml
3742,T1021.002,Resources/sigma-master/rules/windows/builtin/win_wmiprvse_wbemcomn_dll_hijack.yml
3743,discovery,Resources/sigma-master/rules/windows/builtin/win_account_discovery.yml
3744,T1087,Resources/sigma-master/rules/windows/builtin/win_account_discovery.yml
3745,T1087.002,Resources/sigma-master/rules/windows/builtin/win_account_discovery.yml
3746,T1219,Resources/sigma-master/rules/windows/builtin/win_software_atera_rmm_agent_install.yml
3747,persisTence,Resources/sigma-master/rules/windows/builtin/win_hybridconnectionmgr_svc_installation.yml
3748,impacT,Resources/sigma-master/rules/windows/builtin/win_ntfs_vuln_exploit.yml
3749,T1499.001,Resources/sigma-master/rules/windows/builtin/win_ntfs_vuln_exploit.yml
3750,persisTence,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3751,g0049,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3752,T1053,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3753,T1053.005,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3754,s0111,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3755,T1050,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3756,T1543.003,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3757,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3758,T1112,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3759,command_and_conTrol,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3760,T1071,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3761,T1071.004,Resources/sigma-master/rules/windows/builtin/win_apt_chafer_mar18_security.yml
3762,impacT,Resources/sigma-master/rules/windows/builtin/win_susp_sdelete.yml
3763,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_susp_sdelete.yml
3764,T1107,Resources/sigma-master/rules/windows/builtin/win_susp_sdelete.yml
3765,T1070.004,Resources/sigma-master/rules/windows/builtin/win_susp_sdelete.yml
3766,T1066,Resources/sigma-master/rules/windows/builtin/win_susp_sdelete.yml
3767,T1027.005,Resources/sigma-master/rules/windows/builtin/win_susp_sdelete.yml
3768,T1485,Resources/sigma-master/rules/windows/builtin/win_susp_sdelete.yml
3769,T1553.002,Resources/sigma-master/rules/windows/builtin/win_susp_sdelete.yml
3770,s0195,Resources/sigma-master/rules/windows/builtin/win_susp_sdelete.yml
3771,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_pass_the_hash_2.yml
3772,T1075,Resources/sigma-master/rules/windows/builtin/win_pass_the_hash_2.yml
3773,T1550.002,Resources/sigma-master/rules/windows/builtin/win_pass_the_hash_2.yml
3774,T1098,Resources/sigma-master/rules/windows/builtin/win_alert_ad_user_backdoors.yml
3775,persisTence,Resources/sigma-master/rules/windows/builtin/win_alert_ad_user_backdoors.yml
3776,T1110.003,Resources/sigma-master/rules/windows/builtin/win_susp_failed_logons_single_source_kerberos.yml
3777,iniTial_access,Resources/sigma-master/rules/windows/builtin/win_susp_failed_logons_single_source_kerberos.yml
3778,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_susp_failed_logons_single_source_kerberos.yml
3779,credenTial_access,Resources/sigma-master/rules/windows/builtin/win_quarkspwdump_clearing_hive_access_history.yml
3780,T1003,Resources/sigma-master/rules/windows/builtin/win_quarkspwdump_clearing_hive_access_history.yml
3781,T1003.002,Resources/sigma-master/rules/windows/builtin/win_quarkspwdump_clearing_hive_access_history.yml
3782,persisTence,Resources/sigma-master/rules/windows/builtin/win_susp_add_sid_history.yml
3783,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_susp_add_sid_history.yml
3784,T1178,Resources/sigma-master/rules/windows/builtin/win_susp_add_sid_history.yml
3785,T1134.005,Resources/sigma-master/rules/windows/builtin/win_susp_add_sid_history.yml
3786,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_mshta_services_security.yml
3787,T1027,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_mshta_services_security.yml
3788,execuTion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_mshta_services_security.yml
3789,T1059.001,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_mshta_services_security.yml
3790,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_meterpreter_or_cobaltstrike_getsystem_service_installation.yml
3791,T1134,Resources/sigma-master/rules/windows/builtin/win_meterpreter_or_cobaltstrike_getsystem_service_installation.yml
3792,T1134.001,Resources/sigma-master/rules/windows/builtin/win_meterpreter_or_cobaltstrike_getsystem_service_installation.yml
3793,T1134.002,Resources/sigma-master/rules/windows/builtin/win_meterpreter_or_cobaltstrike_getsystem_service_installation.yml
3794,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_susp_ntlm_auth.yml
3795,T1075,Resources/sigma-master/rules/windows/builtin/win_susp_ntlm_auth.yml
3796,T1550.002,Resources/sigma-master/rules/windows/builtin/win_susp_ntlm_auth.yml
3797,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_obfuscated_iex_services.yml
3798,T1027,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_obfuscated_iex_services.yml
3799,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_admin_rdp_login.yml
3800,T1078,Resources/sigma-master/rules/windows/builtin/win_admin_rdp_login.yml
3801,T1078.001,Resources/sigma-master/rules/windows/builtin/win_admin_rdp_login.yml
3802,T1078.002,Resources/sigma-master/rules/windows/builtin/win_admin_rdp_login.yml
3803,T1078.003,Resources/sigma-master/rules/windows/builtin/win_admin_rdp_login.yml
3804,car.2016-04-005,Resources/sigma-master/rules/windows/builtin/win_admin_rdp_login.yml
3805,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_vul_cve_2020_1472.yml
3806,persisTence,Resources/sigma-master/rules/windows/builtin/win_susp_add_domain_trust.yml
3807,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_mshta_services.yml
3808,T1027,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_mshta_services.yml
3809,execuTion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_mshta_services.yml
3810,T1059.001,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_use_mshta_services.yml
3811,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_etw_modification.yml
3812,T1112,Resources/sigma-master/rules/windows/builtin/win_etw_modification.yml
3813,discovery,Resources/sigma-master/rules/windows/builtin/win_aadhealth_svc_agent_regkey_access.yml
3814,T1012,Resources/sigma-master/rules/windows/builtin/win_aadhealth_svc_agent_regkey_access.yml
3815,persisTence,Resources/sigma-master/rules/windows/builtin/win_user_creation.yml
3816,T1136,Resources/sigma-master/rules/windows/builtin/win_user_creation.yml
3817,T1136.001,Resources/sigma-master/rules/windows/builtin/win_user_creation.yml
3818,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_security_metasploit_or_impacket_smb_psexec_service_install.yml
3819,T1021.002,Resources/sigma-master/rules/windows/builtin/win_security_metasploit_or_impacket_smb_psexec_service_install.yml
3820,T1570,Resources/sigma-master/rules/windows/builtin/win_security_metasploit_or_impacket_smb_psexec_service_install.yml
3821,execuTion,Resources/sigma-master/rules/windows/builtin/win_security_metasploit_or_impacket_smb_psexec_service_install.yml
3822,T1569.002,Resources/sigma-master/rules/windows/builtin/win_security_metasploit_or_impacket_smb_psexec_service_install.yml
3823,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_clip_services_security.yml
3824,T1027,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_clip_services_security.yml
3825,execuTion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_clip_services_security.yml
3826,T1059.001,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_clip_services_security.yml
3827,credenTial_access,Resources/sigma-master/rules/windows/builtin/win_transferring_files_with_credential_data_via_network_shares.yml
3828,T1003,Resources/sigma-master/rules/windows/builtin/win_transferring_files_with_credential_data_via_network_shares.yml
3829,T1003.002,Resources/sigma-master/rules/windows/builtin/win_transferring_files_with_credential_data_via_network_shares.yml
3830,T1003.001,Resources/sigma-master/rules/windows/builtin/win_transferring_files_with_credential_data_via_network_shares.yml
3831,T1003.003,Resources/sigma-master/rules/windows/builtin/win_transferring_files_with_credential_data_via_network_shares.yml
3832,persisTence,Resources/sigma-master/rules/windows/builtin/win_exchange_transportagent.yml
3833,T1505.002,Resources/sigma-master/rules/windows/builtin/win_exchange_transportagent.yml
3834,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_root_certificate_installed.yml
3835,T1553.004,Resources/sigma-master/rules/windows/builtin/win_root_certificate_installed.yml
3836,iniTial_access,Resources/sigma-master/rules/windows/builtin/win_iso_mount.yml
3837,T1566.001,Resources/sigma-master/rules/windows/builtin/win_iso_mount.yml
3838,execuTion,Resources/sigma-master/rules/windows/builtin/win_rare_schtasks_creations.yml
3839,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_rare_schtasks_creations.yml
3840,persisTence,Resources/sigma-master/rules/windows/builtin/win_rare_schtasks_creations.yml
3841,T1053,Resources/sigma-master/rules/windows/builtin/win_rare_schtasks_creations.yml
3842,car.2013-08-001,Resources/sigma-master/rules/windows/builtin/win_rare_schtasks_creations.yml
3843,T1053.005,Resources/sigma-master/rules/windows/builtin/win_rare_schtasks_creations.yml
3844,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_overpass_the_hash.yml
3845,T1075,Resources/sigma-master/rules/windows/builtin/win_overpass_the_hash.yml
3846,s0002,Resources/sigma-master/rules/windows/builtin/win_overpass_the_hash.yml
3847,T1550.002,Resources/sigma-master/rules/windows/builtin/win_overpass_the_hash.yml
3848,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_metasploit_authentication.yml
3849,T1077,Resources/sigma-master/rules/windows/builtin/win_metasploit_authentication.yml
3850,T1021.002,Resources/sigma-master/rules/windows/builtin/win_metasploit_authentication.yml
3851,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_scm_database_privileged_operation.yml
3852,T1548,Resources/sigma-master/rules/windows/builtin/win_scm_database_privileged_operation.yml
3853,persisTence,Resources/sigma-master/rules/windows/builtin/win_apt_slingshot.yml
3854,s0111,Resources/sigma-master/rules/windows/builtin/win_apt_slingshot.yml
3855,persisTence,Resources/sigma-master/rules/windows/builtin/win_apt_stonedrill.yml
3856,g0064,Resources/sigma-master/rules/windows/builtin/win_apt_stonedrill.yml
3857,T1050,Resources/sigma-master/rules/windows/builtin/win_apt_stonedrill.yml
3858,T1543.003,Resources/sigma-master/rules/windows/builtin/win_apt_stonedrill.yml
3859,T1089,Resources/sigma-master/rules/windows/builtin/win_user_driver_loaded.yml
3860,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_user_driver_loaded.yml
3861,T1562.001,Resources/sigma-master/rules/windows/builtin/win_user_driver_loaded.yml
3862,persisTence,Resources/sigma-master/rules/windows/builtin/win_susp_failed_logons_single_source2.yml
3863,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_susp_failed_logons_single_source2.yml
3864,T1078,Resources/sigma-master/rules/windows/builtin/win_susp_failed_logons_single_source2.yml
3865,T1071,Resources/sigma-master/rules/windows/builtin/win_susp_ldap_dataexchange.yml
3866,T1001.003,Resources/sigma-master/rules/windows/builtin/win_susp_ldap_dataexchange.yml
3867,command_and_conTrol,Resources/sigma-master/rules/windows/builtin/win_susp_ldap_dataexchange.yml
3868,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_susp_eventlog_cleared.yml
3869,T1070,Resources/sigma-master/rules/windows/builtin/win_susp_eventlog_cleared.yml
3870,T1070.001,Resources/sigma-master/rules/windows/builtin/win_susp_eventlog_cleared.yml
3871,car.2016-04-002,Resources/sigma-master/rules/windows/builtin/win_susp_eventlog_cleared.yml
3872,persisTence,Resources/sigma-master/rules/windows/builtin/win_account_backdoor_dcsync_rights.yml
3873,T1098,Resources/sigma-master/rules/windows/builtin/win_account_backdoor_dcsync_rights.yml
3874,persisTence,Resources/sigma-master/rules/windows/builtin/win_susp_local_anon_logon_created.yml
3875,T1136,Resources/sigma-master/rules/windows/builtin/win_susp_local_anon_logon_created.yml
3876,T1136.001,Resources/sigma-master/rules/windows/builtin/win_susp_local_anon_logon_created.yml
3877,T1136.002,Resources/sigma-master/rules/windows/builtin/win_susp_local_anon_logon_created.yml
3878,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_susp_dhcp_config.yml
3879,T1073,Resources/sigma-master/rules/windows/builtin/win_susp_dhcp_config.yml
3880,T1574.002,Resources/sigma-master/rules/windows/builtin/win_susp_dhcp_config.yml
3881,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_stdin_services.yml
3882,T1027,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_stdin_services.yml
3883,execuTion,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_stdin_services.yml
3884,T1059.001,Resources/sigma-master/rules/windows/builtin/win_invoke_obfuscation_via_stdin_services.yml
3885,discovery,Resources/sigma-master/rules/windows/builtin/win_sam_registry_hive_handle_request.yml
3886,T1012,Resources/sigma-master/rules/windows/builtin/win_sam_registry_hive_handle_request.yml
3887,credenTial_access,Resources/sigma-master/rules/windows/builtin/win_sam_registry_hive_handle_request.yml
3888,T1552.002,Resources/sigma-master/rules/windows/builtin/win_sam_registry_hive_handle_request.yml
3889,defense_evasion,Resources/sigma-master/rules/windows/builtin/win_susp_mshta_execution.yml
3890,T1140,Resources/sigma-master/rules/windows/builtin/win_susp_mshta_execution.yml
3891,T1218.005,Resources/sigma-master/rules/windows/builtin/win_susp_mshta_execution.yml
3892,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_register_new_logon_process_by_rubeus.yml
3893,privilege_escalaTion,Resources/sigma-master/rules/windows/builtin/win_register_new_logon_process_by_rubeus.yml
3894,T1208,Resources/sigma-master/rules/windows/builtin/win_register_new_logon_process_by_rubeus.yml
3895,T1558.003,Resources/sigma-master/rules/windows/builtin/win_register_new_logon_process_by_rubeus.yml
3896,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_suspicious_outbound_kerberos_connection.yml
3897,T1208,Resources/sigma-master/rules/windows/builtin/win_suspicious_outbound_kerberos_connection.yml
3898,T1558.003,Resources/sigma-master/rules/windows/builtin/win_suspicious_outbound_kerberos_connection.yml
3899,execuTion,Resources/sigma-master/rules/windows/builtin/win_exploit_cve_2021_1675_printspooler_operational.yml
3900,T1078,Resources/sigma-master/rules/windows/builtin/win_susp_logon_explicit_credentials.yml
3901,laTeral_movemenT,Resources/sigma-master/rules/windows/builtin/win_susp_logon_explicit_credentials.yml
