,Techniques,Rule
77,defense_evasion,Resources/sigma-master/rules/proxy/proxy_cobalt_malformed_uas.yml
78,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_cobalt_malformed_uas.yml
79,T1071.001,Resources/sigma-master/rules/proxy/proxy_cobalt_malformed_uas.yml
80,T1043,Resources/sigma-master/rules/proxy/proxy_cobalt_malformed_uas.yml
81,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_ua_malware.yml
82,T1071.001,Resources/sigma-master/rules/proxy/proxy_ua_malware.yml
83,defense_evasion,Resources/sigma-master/rules/proxy/proxy_empire_ua_uri_combos.yml
84,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_empire_ua_uri_combos.yml
85,T1071.001,Resources/sigma-master/rules/proxy/proxy_empire_ua_uri_combos.yml
86,T1043,Resources/sigma-master/rules/proxy/proxy_empire_ua_uri_combos.yml
87,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_ua_frameworks.yml
88,T1071.001,Resources/sigma-master/rules/proxy/proxy_ua_frameworks.yml
89,defense_evasion,Resources/sigma-master/rules/proxy/proxy_download_susp_dyndns.yml
90,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_download_susp_dyndns.yml
91,T1105,Resources/sigma-master/rules/proxy/proxy_download_susp_dyndns.yml
92,T1568,Resources/sigma-master/rules/proxy/proxy_download_susp_dyndns.yml
93,defense_evasion,Resources/sigma-master/rules/proxy/proxy_turla_comrat.yml
94,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_turla_comrat.yml
95,T1071.001,Resources/sigma-master/rules/proxy/proxy_turla_comrat.yml
96,T1043,Resources/sigma-master/rules/proxy/proxy_turla_comrat.yml
97,g0010,Resources/sigma-master/rules/proxy/proxy_turla_comrat.yml
98,defense_evasion,Resources/sigma-master/rules/proxy/proxy_empty_ua.yml
99,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_empty_ua.yml
100,T1071.001,Resources/sigma-master/rules/proxy/proxy_empty_ua.yml
101,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
102,T1071.001,Resources/sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
103,defense_evasion,Resources/sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
104,persisTence,Resources/sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
105,T1197,Resources/sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
106,s0190,Resources/sigma-master/rules/proxy/proxy_ua_bitsadmin_susp_tld.yml
107,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_ua_apt.yml
108,T1071.001,Resources/sigma-master/rules/proxy/proxy_ua_apt.yml
109,iniTial_access,Resources/sigma-master/rules/proxy/proxy_ursnif_malware_c2_url.yml
